"","V1"
"_JamesMonroe_2_89",12
"_JamesMonroe_2_90",12
"_JamesMonroe_2_91",12
"_JamesMonroe_2_92",12
"_JamesMonroe_2_93",14
"_JamesMonroe_2_94",14
"_JamesMonroe_2_95",14
"_JamesMonroe_2_96",12
"_JamesMonroe_2_97",12
"_JamesMonroe_2_98",12
"_JamesMonroe_2_99",14
"_JamesMonroe_2_100",14
"_JamesMonroe_2_101",2
"_JamesMonroe_2_102",5
"_JamesMonroe_2_103",7
"_JamesMonroe_2_104",7
"_JamesMonroe_2_105",11
"_JamesMonroe_2_106",11
"_JamesMonroe_2_107",11
"_JamesMonroe_2_108",11
"_JamesMonroe_2_109",13
"_JamesMonroe_2_110",2
"_JamesMonroe_2_111",2
"_JamesMonroe_2_112",5
"_JamesMonroe_2_113",5
"_JamesMonroe_2_114",2
"_JamesMonroe_2_115",2
"_JamesMonroe_2_116",2
"_JamesMonroe_2_117",8
"_JamesMonroe_2_118",2
"_JamesMonroe_2_119",8
"_JamesMonroe_2_120",2
"_JamesMonroe_2_121",2
"_JamesMonroe_2_122",1
"_JamesMonroe_2_123",6
"_JamesMonroe_2_124",7
"_JamesMonroe_2_125",6
"_JamesMonroe_2_126",6
"_JamesMonroe_2_127",7
"_JamesMonroe_2_128",6
"_JamesMonroe_2_129",5
"_JamesMonroe_2_130",2
"_JamesMonroe_2_131",2
"_JamesMonroe_2_132",2
"_JamesMonroe_2_133",2
"_JamesMonroe_2_134",11
"_JamesMonroe_2_135",11
"_JamesMonroe_2_136",7
"_JamesMonroe_2_137",11
"_JamesMonroe_2_138",7
"_JamesMonroe_2_139",7
"_JamesMonroe_2_140",7
"_JamesMonroe_2_141",5
"_JamesMonroe_2_142",5
"_JohnQuincyAdams_1_2",5
"_JohnQuincyAdams_1_3",7
"_JohnQuincyAdams_1_4",2
"_JohnQuincyAdams_1_5",1
"_JohnQuincyAdams_1_6",1
"_JohnQuincyAdams_1_7",1
"_JohnQuincyAdams_1_8",13
"_JohnQuincyAdams_1_9",10
"_JohnQuincyAdams_1_10",10
"_JohnQuincyAdams_1_11",10
"_JohnQuincyAdams_1_12",7
"_JohnQuincyAdams_1_13",10
"_JohnQuincyAdams_1_14",8
"_JohnQuincyAdams_1_15",8
"_JohnQuincyAdams_1_16",7
"_JohnQuincyAdams_1_17",7
"_JohnQuincyAdams_1_18",11
"_JohnQuincyAdams_1_19",7
"_JohnQuincyAdams_1_20",11
"_JohnQuincyAdams_1_21",11
"_JohnQuincyAdams_1_22",11
"_JohnQuincyAdams_1_23",1
"_JohnQuincyAdams_1_24",1
"_JohnQuincyAdams_1_25",1
"_JohnQuincyAdams_1_26",10
"_JohnQuincyAdams_1_27",1
"_JohnQuincyAdams_1_28",13
"_JohnQuincyAdams_1_29",1
"_JohnQuincyAdams_1_30",1
"_JohnQuincyAdams_1_31",1
"_JohnQuincyAdams_1_32",2
"_JohnQuincyAdams_1_33",2
"_JohnQuincyAdams_1_34",2
"_JohnQuincyAdams_1_35",2
"_JohnQuincyAdams_1_36",2
"_JohnQuincyAdams_1_37",2
"_JohnQuincyAdams_1_38",2
"_JohnQuincyAdams_1_39",5
"_JohnQuincyAdams_1_40",2
"_JohnQuincyAdams_1_41",2
"_JohnQuincyAdams_1_42",2
"_JohnQuincyAdams_1_43",2
"_JohnQuincyAdams_1_44",6
"_JohnQuincyAdams_1_45",10
"_JohnQuincyAdams_1_46",7
"_JohnQuincyAdams_1_47",7
"_JohnQuincyAdams_1_48",7
"_JohnQuincyAdams_1_49",11
"_JohnQuincyAdams_1_50",12
"_JohnQuincyAdams_1_51",7
"_JohnQuincyAdams_1_52",7
"_JohnQuincyAdams_1_53",2
"_JohnQuincyAdams_1_54",15
"_JohnQuincyAdams_1_55",2
"_JohnQuincyAdams_1_56",15
"_JohnQuincyAdams_1_57",2
"_JohnQuincyAdams_1_58",2
"_JohnQuincyAdams_1_59",2
"_JohnQuincyAdams_1_60",2
"_JohnQuincyAdams_1_61",7
"_JohnQuincyAdams_1_62",7
"_JohnQuincyAdams_1_63",7
"_JohnQuincyAdams_1_64",7
"_JohnQuincyAdams_1_65",7
"_JohnQuincyAdams_1_66",7
"_JohnQuincyAdams_1_67",7
"_JohnQuincyAdams_1_68",2
"_JohnQuincyAdams_1_69",13
"_JohnQuincyAdams_1_70",5
"_JohnQuincyAdams_1_71",5
"_JohnQuincyAdams_1_72",5
"_JohnQuincyAdams_1_73",11
"_JohnQuincyAdams_1_74",13
"_JohnQuincyAdams_1_75",13
"_JohnQuincyAdams_1_76",13
"_JohnQuincyAdams_1_77",11
"_JohnQuincyAdams_1_78",11
"_JohnQuincyAdams_1_79",11
"_JohnQuincyAdams_1_80",11
"_JohnQuincyAdams_1_81",7
"_JohnQuincyAdams_1_82",5
"_JohnQuincyAdams_1_83",12
"_JohnQuincyAdams_1_84",11
"_JohnQuincyAdams_1_85",12
"_JohnQuincyAdams_1_86",11
"_JohnQuincyAdams_1_87",11
"_JohnQuincyAdams_1_88",11
"_JohnQuincyAdams_1_89",11
"_JohnQuincyAdams_1_90",11
"_JohnQuincyAdams_1_91",11
"_JohnQuincyAdams_1_92",5
"_JohnQuincyAdams_1_93",7
"_JohnQuincyAdams_1_94",2
"_JohnQuincyAdams_1_95",2
"_JohnQuincyAdams_1_96",1
