"Name","PA","OBP"
"Nick Hundley",233,0.273
"Derek Dietrich",183,0.326
"Didi Gregorius",299,0.29
"Eric Sogard",329,0.298
"Jean Segura",557,0.289
"Jim Adduci",114,0.239
"Elian Herrera",140,0.288
"David Ross",171,0.26
"Yunel Escobar",529,0.324
"John Mayberry",168,0.31
"Phil Gosselin",136,0.304
"Shin-Soo Choo",529,0.34
"Steve Tolleson",189,0.308
"Ramiro Pena",165,0.304
"Daniel Robertson",197,0.333
"Gregory Polanco",312,0.307
"Garrett Jones",547,0.309
"Arismendy Alcantara",300,0.254
"Eric Hosmer",547,0.318
"Ehire Adrianza",106,0.279
"Brian Roberts",348,0.3
"Alex Rios",521,0.311
"Wil Nieves",128,0.27
"Nick Punto",224,0.296
"Drew Butera",192,0.267
"Wil Myers",361,0.294
"Ed Lucas",189,0.283
"Tuffy Gosewisch",132,0.242
"Jeff Mathis",195,0.263
"Chris Valaika",131,0.282
"Josmil Pinto",197,0.315
"Willie Bloomquist",139,0.297
"Jordany Valdespin",113,0.28
"Brandon Barnes",313,0.293
"Gerardo Parra",574,0.308
"Aaron Hicks",225,0.341
"Shane Victorino",133,0.303
"Ryan Sweeney",226,0.304
"Luis Sardinas",125,0.303
"Josh Thole",150,0.32
"Andrew Romine",273,0.279
"Adam Dunn",511,0.337
"Jedd Gyorko",443,0.28
"Jacob Lamb",133,0.263
"Tyler Colvin",149,0.268
"Eduardo Nunez",213,0.271
"Jonathan Herrera",104,0.307
"Jordan Danks",132,0.303
"Jake Goebbert",115,0.313
"C.J. Cron",253,0.289
"Chris Gimenez",128,0.313
"Jackie Bradley Jr.",423,0.265
"Chris Dickerson",112,0.309
"Zach Walters",137,0.241
"Tommy La Stella",360,0.328
"Chris Parmelee",270,0.307
"Daniel Descalso",184,0.333
"Logan Schafer",136,0.278
"Gerald Laird",167,0.275
"Gaby Sanchez",290,0.293
"Endy Chavez",258,0.317
"Alex Presley",271,0.281
"Gordon Beckham",483,0.271
"Christian Bethancourt",117,0.274
"Sean Rodriguez",259,0.258
"Lyle Overbay",296,0.328
"Joaquin Arias",204,0.281
"Jeff Baker",225,0.307
