Country,Year,AverageIncome,P99,P99.5,P99.9
Canada,1962,13337.15,73804.95,98630.8,192955.8
Canada,1963,13815.57,75165.52,99964.53,194910.14
Canada,1964,14330.19,78997.05,106502.98,206844.63
Canada,1965,15232.17,81805.8,109948.36,213398.79
Canada,1966,16106.09,84933.97,113139.8,216801.27
Canada,1967,16512.48,89051.36,119178.59,227947
Canada,1968,16908.69,91467.37,122355.09,237099.72
Canada,1969,17510.01,94383.28,126371.44,246253.09
Canada,1970,17760.06,96219.87,128022.7,247758.18
Canada,1971,18480.87,99184.06,132204.39,253541.8
Canada,1972,19487.51,103422.33,137654.37,261632.46
Canada,1973,20715.18,109871.56,147168.59,277332.58
Canada,1974,21610.65,115762.2,153917.74,286467.65
Canada,1975,21995.91,116966.05,154911.83,286912.75
Canada,1976,22780.72,116244.99,149955.64,271640.1
Canada,1977,22757.46,112408.49,144100.79,257337.84
Canada,1978,22785.81,111222.47,141375.54,252056.54
Canada,1979,23123.46,110773.05,143485.62,268956.55
Canada,1980,23201.91,116412.16,149806.14,281558.26
Canada,1981,23828.94,116009.56,149483.56,276425.02
Canada,1982,22875.5,114033.69,147838.63,284221.23
Canada,1983,22045.01,109278.76,141709.24,267553.1
Canada,1984,22479.94,109057.99,142481.58,275368.36
Canada,1985,23007.08,110272.55,144761.57,280132.87
Canada,1986,23242.66,112082.37,147540.36,283722.08
Canada,1987,23518.25,112595.05,149078.07,295923.74
Canada,1988,24506.7,119505.05,161989.72,344180.47
Canada,1989,24874.73,123433.32,169449.33,371951.44
Canada,1990,24877.34,121607.48,165216.6,349770.69
Canada,1991,23578.3,117966.45,159101.91,329008.8
Canada,1992,23194.8,116399.56,157569.29,323487.62
Canada,1993,22804.29,116215.49,156774.29,326130.54
Canada,1994,22989.46,118175.55,159966.84,332208.35
Canada,1995,23251.6,122148.88,166491.3,355236.04
Canada,1996,23171.44,124424.46,171712.9,381629.94
Canada,1997,23455.02,129177.65,182007.76,428508.89
Canada,1998,23955.25,135170.3,192392.59,458367.74
Canada,1999,24311.64,139473.28,198915.33,478917.8
Canada,2000,24859.31,145774,210150,530311
Canada,2001,,,,
Canada,2002,,,,
Canada,2003,,,,
Canada,2004,,,,
Canada,2005,,,,
Canada,2006,,,,
Canada,2007,,,,
Canada,2008,,,,
Canada,2009,,,,
Canada,2010,,,,
China,1986,4407.5,9496.01,10806.51,14188.55
China,1987,4318.05,9437.39,9179.83,11627.14
China,1988,4874.98,12014.22,14195.41,22580.35
China,1989,4682.51,12305.07,14535.68,21855.56
China,1990,4966.83,12666.13,15068.73,20662.78
China,1991,5288.45,13940.47,16057.76,22690.5
China,1992,5831.69,16450.8,20337.02,30236.22
China,1993,6467.59,20428.72,25087.31,38111.81
China,1994,7098.06,23707.68,28381.62,40990.37
China,1995,7352.38,24469.76,30036.39,41533.66
China,1996,7601.82,26064.09,31554.11,48217.45
China,1997,8005.99,28809.29,34553.95,52945.18
China,1998,8329.49,30106.59,35897.07,54006.81
China,1999,9143.61,32633.24,38850.84,58245.67
China,2000,9942.39,36126.85,43840.02,68707.98
China,2001,10787,39528.61,47823.62,74428.25
China,2002,11994,45583.46,55560.2,88006.83
China,2003,13159.86,53276.47,66052.28,108846.19
Colombia,1993,11256.09,59778.43,121000.76,437261.34
Colombia,1994,11472.34,59962.41,128269.56,445133.59
Colombia,1995,11248.93,61386.17,129581.65,463625.69
Colombia,1996,10839.36,64508.41,132712.95,446253.92
Colombia,1997,10756.37,61169.38,129758.5,421155.47
Colombia,1998,10436.01,55366.71,123169.15,388477.46
Colombia,1999,10248.75,48502.73,112516.91,343572.52
Colombia,2000,10319.41,43811.47,105196.24,334137.88
Colombia,2001,10269.76,43994.62,107114.94,325541.96
Colombia,2002,10234.04,47646.25,117079.45,325442.05
Colombia,2003,10024.13,73588.19,124500.93,324004.99
Colombia,2004,10460.96,,,
Colombia,2005,10649.13,,,
Colombia,2006,11022.02,88769.17,137412.28,356200.12
Colombia,2007,11465.07,94203.05,147808.48,383782.67
Colombia,2008,11645.77,95599.87,151241.04,389228.26
Colombia,2009,11658.93,98664.19,155293.03,390589.21
Colombia,2010,12042.06,101293,160929.66,404749.82
Italy,1974,11239.26,51459.46,67455.35,124382.21
Italy,1975,10931.24,48267.7,65464.72,117944.37
Italy,1976,11719.75,49274.58,67663.86,124266.37
Italy,1977,12071.95,48854.63,66286.5,122749.66
Italy,1978,12589.19,50336.13,68228.06,126655
Italy,1979,13315.34,54124.42,73038.55,136954.67
Italy,1980,13645,55482.46,74732.71,143700.65
Italy,1981,14148.76,55111.44,73736.95,138151.59
Italy,1982,14124.92,54691.13,73192.37,134909.8
Italy,1983,14096.43,54696.66,73320.06,132754.82
Italy,1984,14287.95,56735.67,75779.72,140033.46
Italy,1985,14465.83,59226.89,79192.7,149091.65
Italy,1986,14784.56,62355.12,83813.34,160330.8
Italy,1987,15180.27,66677.83,90008.82,172997.1
Italy,1988,15579.37,71108.12,95376.8,180269.4
Italy,1989,16059.04,74422.32,99779.4,191933.34
Italy,1990,16399.27,76038.15,101778.36,194941.92
Italy,1991,16665.46,78451.12,104555.81,197268.51
Italy,1992,16813.86,79391.41,105389.03,197855.26
Italy,1993,16056.21,76441.27,101278.79,191722.97
Italy,1994,15929.2,76312.57,100906.01,192360.51
Italy,1995,15629.78,74914.8,99817.49,193150.53
Italy,1996,16476.67,,,
Italy,1997,16786.29,,,
Italy,1998,16367.71,82798.65,110248.13,216362.86
Italy,1999,16805.02,85640.53,113950.45,223753.31
Italy,2000,16933.95,88586.32,117616.76,232412.8
Italy,2001,17392.93,91108.74,121146.51,241885.7
Italy,2002,17492.62,90857.58,121058.51,244211.47
Italy,2003,17705.66,91658.55,122708.56,250804.99
Italy,2004,17680.28,91122.46,121222.5,242422.42
Italy,2005,17861.29,92223.56,122254.55,245579.03
Italy,2006,18263.69,95711.7,126929.75,261637.07
Italy,2007,18295.87,96727.43,129012.42,269216.22
Italy,2008,17927.79,94577.41,125902.09,258986.09
Italy,2009,17627.14,93258.26,123059.52,245471.52
Japan,1886,167.47,,,
Japan,1887,160.03,,,
Japan,1888,173.05,,,
Japan,1889,180.5,,,
Japan,1890,191.66,,,
Japan,1891,217.71,,,
Japan,1892,225.15,,,
Japan,1893,234.46,,,
Japan,1894,254.93,,,
Japan,1895,271.67,,,
Japan,1896,262.37,,,
Japan,1897,277.26,,,
Japan,1898,279.12,,,
Japan,1899,303.31,,,
Japan,1900,275.39,,,
Japan,1901,284.7,,,
Japan,1902,273.53,,,
Japan,1903,277.26,,,
Japan,1904,308.89,,,
Japan,1905,290.28,,,
Japan,1906,295.86,,,
Japan,1907,295.86,,,
Japan,1908,301.45,,,
Japan,1909,312.61,,,
Japan,1910,320.05,,,
Japan,1911,336.8,,,
Japan,1912,334.94,,,
Japan,1913,340.52,,,
Japan,1914,342.38,,,
Japan,1915,383.32,,,
Japan,1916,429.84,,,
Japan,1917,480.08,,,
Japan,1918,521.02,,,
Japan,1919,521.02,,,
Japan,1920,481.94,,,
Japan,1921,476.36,,,
Japan,1922,489.38,,,
Japan,1923,468.92,,,
Japan,1924,472.64,,,
Japan,1925,493.11,,,
Japan,1926,500.55,,,
Japan,1927,511.71,,,
Japan,1928,522.88,,,
Japan,1929,517.3,,,
Japan,1930,532.18,,,
Japan,1931,524.74,,,
Japan,1932,543.35,,,
Japan,1933,560.09,,,
Japan,1934,565.68,,,
Japan,1935,602.89,,,
Japan,1936,625.22,,,
Japan,1937,654.99,,,
Japan,1938,668.02,,,
Japan,1939,684.76,,,
Japan,1940,638.25,,,
Japan,1941,653.13,,,
Japan,1942,615.92,,,
Japan,1943,601.03,,,
Japan,1944,574.98,,,
Japan,1945,295.86,,,
Japan,1946,339.64,,,
Japan,1947,372.98,1573.2,2135.22,4353.21
Japan,1948,397.45,1865.12,2467.04,4758.01
Japan,1949,446.18,2146.81,2724.44,5014.91
Japan,1950,476.55,2253.9,2964.15,5298.72
Japan,1951,528.56,2359.46,3019.63,5478.13
Japan,1952,548.48,2612.47,3380.2,6358.41
Japan,1953,585.01,2657.86,3433.46,6428.58
Japan,1954,595.64,2631.37,3391.1,6392.98
Japan,1955,643.04,2697.62,3465.98,6578.68
Japan,1956,701.13,3048.54,3986.38,7676.57
Japan,1957,739.16,3307.17,4356.59,8503.48
Japan,1958,769.22,3470.49,4573.66,9057.14
Japan,1959,838.58,3803.68,5025.18,10433.79
Japan,1960,912.34,4215.99,5604.16,11450.16
Japan,1961,1030.73,4813.71,6592.13,13571.19
Japan,1962,1077.13,5240.19,7172.61,14417.81
Japan,1963,1136.94,5446,7360.6,15210.09
Japan,1964,1238.96,5985.5,8157.91,15842.48
Japan,1965,1273.23,5861.71,7815,15128.01
Japan,1966,1361.24,6143.55,8108.34,15770.04
Japan,1967,1464.9,6610.59,8646.58,17145.63
Japan,1968,1612.17,7136.42,9374.16,18604.57
Japan,1969,1727.93,7991.46,10581.13,22153.91
Japan,1970,1817.5,8482.55,11268.09,24762.95
Japan,1971,1914.31,9806.12,12660.32,26162.52
Japan,1972,2091.05,10708.71,13897.21,26949.14
Japan,1973,2316.61,10864.16,12808.35,23868.69
Japan,1974,2296.21,10540.64,13128.92,23403.23
Japan,1975,2299.49,10214.09,12626.42,22849.93
Japan,1976,2326.6,10543.15,12847.94,23172.59
Japan,1977,2310.79,10448.05,12798.17,22583.43
Japan,1978,2361.24,10774.43,13359.78,23942.21
Japan,1979,2429.62,11271.12,14223.78,26631.41
Japan,1980,2419.71,10740.44,13596.97,27000.45
Japan,1981,2420.18,10718.86,13795.95,26532.5
Japan,1982,2437.94,10577.04,13685.27,26669.11
Japan,1983,2465.84,10679.36,13844.13,26376.45
Japan,1984,2495.59,11016.55,14233.99,26665.94
Japan,1985,2533.84,11409.63,14667.89,27341.48
Japan,1986,2578.56,12035.61,15261.22,28659.73
Japan,1987,2601.81,12757.11,16159.24,30349.73
Japan,1988,2687.89,13564.9,16611.47,30149.28
Japan,1989,2787.84,13924.99,17057.44,30540.9
Japan,1990,2901.39,14289.27,17606.49,32312.74
Japan,1991,2990.79,14338.47,17624.51,31006.61
Japan,1992,2995.88,13972.95,17040.13,32445.26
Japan,1993,2931.52,13676.68,17063.19,31532.9
Japan,1994,2911.21,13647.16,16433.51,30763.41
Japan,1995,2854.96,13739.28,16901.62,31237.2
Japan,1996,2851.5,13733.03,16082.58,31273.42
Japan,1997,2818.96,13605.85,16156.42,31069.58
Japan,1998,2731.68,13569.42,16404.02,31669.76
Japan,1999,2666.92,13705.34,16321.42,31268.32
Japan,2000,2639.02,13779.58,16668.52,32626.15
Japan,2001,2534.07,13711.35,17108.52,33068.68
Japan,2002,2432.36,13516.82,16916.61,32461.1
Japan,2003,2407.32,13524.27,16872.68,32981.81
Japan,2004,2368.87,13566.3,16838.87,33641.09
Japan,2005,2395.63,13718.64,17389.77,34431.4
Japan,2006,2398.23,13978.34,17597.63,35127.64
Japan,2007,2404.71,14074.37,17641.29,35236.06
Japan,2008,2342.47,13734.12,17276.83,34528.54
Japan,2009,2242.72,12692.92,16476.05,32819.25
Japan,2010,2254.94,12798.91,16552.78,32608.36
Sweden,1903,27813.96,307885.1,532033.53,1205596.38
Sweden,1904,28908.27,,,
Sweden,1905,28921.06,,,
Sweden,1906,30342.25,,,
Sweden,1907,31076.39,245865.74,399693.27,1161461.34
Sweden,1908,30995.84,,,
Sweden,1909,30656.27,,,
Sweden,1910,33561.2,,,
Sweden,1911,33451.7,243538.1,390996.48,1099839.08
Sweden,1912,33811.71,251457.26,406377.98,1181311.49
Sweden,1913,35422.33,,,
Sweden,1914,35934.82,,,
Sweden,1915,33217.14,,,
Sweden,1916,34402.05,277413.97,473982.02,1698582.6
Sweden,1917,33152.81,,,
Sweden,1918,30879.85,,,
Sweden,1919,34784.65,258496.35,444067.11,1039055.19
Sweden,1920,40536.08,223642.21,339532.94,922091.64
Sweden,1921,40153.36,,,
Sweden,1922,40049.51,,,
Sweden,1923,40328.69,,,
Sweden,1924,39819.3,,,
Sweden,1925,39874.84,,,
Sweden,1926,41939.87,,,
Sweden,1927,42832.81,,,
Sweden,1928,42553.98,,,
Sweden,1929,45416.44,,,
Sweden,1930,48048.98,290369.17,449059.7,1107136.46
Sweden,1931,47106.14,,,
Sweden,1932,45025.79,,,
Sweden,1933,45274.41,,,
Sweden,1934,47966.17,273918.78,403326.94,940411.8
Sweden,1935,49874.37,269146.7,386953.73,994049.47
Sweden,1936,50438.3,,,
Sweden,1937,52671.87,,,
Sweden,1938,54553.78,,,
Sweden,1939,56832.65,,,
Sweden,1940,54403.54,,,
Sweden,1941,52947.35,261024.48,364516.97,794187.19
Sweden,1942,55448.58,,,
Sweden,1943,58043.52,325079.17,453893.4,1006587.6
Sweden,1944,61592.23,337203.15,466033.13,1011626.67
Sweden,1945,66927.67,359390.72,495889.3,1075056.35
Sweden,1946,76620.55,412464.14,584314.65,1252468.02
Sweden,1947,81881.94,400929.68,548795.04,1129387.25
Sweden,1948,85796.8,397727.83,533927.21,1112747.7
Sweden,1949,88492.02,405750.95,538936.49,1067169.09
Sweden,1950,91233.76,414449.35,553979.41,1094476.43
Sweden,1951,79018.14,346197.37,452773.77,902898.63
Sweden,1952,84591.21,357382.55,456015.84,884146.37
Sweden,1953,86011.65,374025.69,472920.49,898546.46
Sweden,1954,89900.09,384685.71,497453.34,951214.27
Sweden,1955,95200.78,399764.9,520004.21,992627.97
Sweden,1956,96632.28,395695.15,519938.05,983020.55
Sweden,1957,95366.1,403111.37,528046.29,989473
Sweden,1958,94069.38,401348.51,523607.74,970594.75
Sweden,1959,96450.66,421674.21,550584.65,1023116.78
Sweden,1960,100394.3,440085.77,568014.15,1027321.75
Sweden,1961,104838.84,460239.8,591425.37,1057568.11
Sweden,1962,108387.96,470892.37,601525.65,1069570.35
Sweden,1963,112553.04,487119.81,624292.3,1109576.91
Sweden,1964,117781.23,504725.97,643519.26,1133708.91
Sweden,1965,120952.93,515958.56,657609.12,1155701.38
Sweden,1966,122545.46,517658.46,660801.59,1141828.08
Sweden,1967,125541.31,559174.78,699629.25,1177169.18
Sweden,1968,128249.07,571551.48,715998.57,1208171.57
Sweden,1969,131265.87,573581.52,716870.37,1203119.8
Sweden,1970,132766.37,561847.18,699579.44,1163933.94
Sweden,1971,132015.31,531061.53,658480,1084939.31
Sweden,1972,134637.63,528374.63,653799.45,1072084.24
Sweden,1973,134691.87,519349.6,642590.95,1053548.29
Sweden,1974,138118.45,518621.87,646488.27,1064921.99
Sweden,1975,145599.45,531395.41,661012.8,1098031.27
Sweden,1976,148988.68,521863.55,642513,1034281.6
Sweden,1977,148740.53,497566.59,613650.38,751849.7
Sweden,1978,150163.37,486682.07,593557.07,918188.87
Sweden,1979,152931.51,480945.96,580560.44,786098.99
Sweden,1980,149661.95,449756.25,537784.65,772529.15
Sweden,1981,145465.49,427243.76,507532.99,742634.08
Sweden,1982,144104.8,424638.87,508512.02,755350.34
Sweden,1983,142311.19,415714.91,516935.68,816315.87
Sweden,1984,143493.21,428740.81,519372.39,677091.92
Sweden,1985,145897.08,437999.46,528560.98,720867.13
Sweden,1986,150963.96,457312.19,550093.5,778154.14
Sweden,1987,157846.44,471701.31,549086.75,905555.67
Sweden,1988,161127.48,483579.24,567247.5,961995.54
Sweden,1989,167090.56,519280.01,619219.3,1044253.61
Sweden,1990,168295.24,495610.52,523939.81,1052618.75
Sweden,1991,167330.62,545013.66,699859.59,1244120.55
Sweden,1992,167765.02,557015.45,705559.94,1228218.54
Sweden,1993,165359.4,561688.72,715676.58,1273416.44
Sweden,1994,167904.5,540076.01,765384.07,1415840.42
Sweden,1995,170043.35,539414.76,751882.43,1341525.61
Sweden,1996,176469.52,590163.24,779657.01,1488325.17
Sweden,1997,182486.86,617590.35,819853.07,1582763.02
Sweden,1998,190863.15,657195.77,875163.2,1588249.89
Sweden,1999,200026.74,708696.88,942069.59,1712869.36
Sweden,2000,208203.81,609184.53,1038505.85,1968992.5
Sweden,2001,211843,637375.35,1063655.12,1988970.08
Sweden,2002,214136.78,637420.52,1050967.87,1901746.58
Sweden,2003,216842.32,611155.85,1051424.29,1885443.39
Sweden,2004,221528.6,656406.4,1092536.48,1989536.65
Sweden,2005,227385.06,737998.05,1178207.8,2243056.12
Sweden,2006,232729.36,733028.12,1251173.74,2447179.67
Sweden,2007,237329.57,789100.87,1310387.69,2605003.95
Sweden,2008,242701.5,823385.29,1362747.37,2520949.89
Sweden,2009,240972.12,812491.22,1315833.8,2559495.38
Sweden,2010,242335.92,839158.57,1347002.28,2422713.15
Sweden,2011,242471.12,873743.24,1224359.99,2541461.88
Sweden,2012,249198,872997.33,1242179.94,2574547.52
Sweden,2013,256215.79,897418.08,1283193.85,2651356.2
United States,1913,16074.42,82677.22,135583.49,428630.39
United States,1914,15704.45,76405.62,126910.52,410528.72
United States,1915,15856.19,64409.44,122555.68,451668.29
United States,1916,17250,77289.78,138102.28,518327.37
United States,1917,17568.37,95326.69,154537.77,536356.49
United States,1918,16627.69,95202.66,147850.09,457045.01
United States,1919,16285.22,96788.61,150533.46,480016.2
United States,1920,14523.02,83056.57,132648.8,380011.25
United States,1921,12813.07,81803.8,126224.34,354562.8
United States,1922,14467.24,91634.52,143497.17,413153.49
United States,1923,16092.44,94626.41,149981.36,422816.24
United States,1924,15899.52,99422.86,157528.59,447338.35
United States,1925,16056.41,106718.27,167803.87,467051.01
United States,1926,16231.8,110854.34,172641.07,481086.76
United States,1927,16351.26,113354.05,175674.97,492389.43
United States,1928,16694.05,116710.91,177077.79,502508.38
United States,1929,17404.77,117437.18,178159.44,473119.32
United States,1930,15774.97,103958.29,156045.16,417063.92
United States,1931,14312.89,94184.36,138828.95,347636.94
United States,1932,12039.05,80578.04,115722.66,305106.41
United States,1933,11729.35,78407.51,112626.51,294948.82
United States,1934,12888.91,87304.71,129050.76,348905.56
United States,1935,13956.33,91515.22,134882.19,365870.05
United States,1936,15321.95,106592.26,162709.57,460786.99
United States,1937,16065.66,106563.74,163341.68,457887.38
United States,1938,14771.54,96851.22,142028.48,362471.59
United States,1939,15741.85,105979.79,156049.62,406390.2
United States,1940,16488.42,111376.84,169381.97,442149.81
United States,1941,19271.65,121630.72,188948.77,498270.45
United States,1942,22398.17,120306.11,189140.57,499711.54
United States,1943,25889.05,128458.82,202670.43,517176.13
United States,1944,25581.01,132176.23,200048.53,489722
United States,1945,25039.52,141141.91,215822.63,486670.72
United States,1946,25200.29,145754.96,217656.22,485382.54
United States,1947,24336.67,131047.24,194007.33,428871.31
United States,1948,24772.33,133581.82,201033.54,458035.24
United States,1949,24463.18,128703.96,190595.06,436116.05
United States,1950,26409.69,138433.13,213494.57,482761.37
United States,1951,27209.56,142358.97,206469.41,459372.34
United States,1952,28078.03,140878.05,207672.42,431345.16
United States,1953,29328.9,141596.99,203567.15,414436.07
United States,1954,28973.04,144141.86,206652.05,417775.28
United States,1955,30964.24,151433.52,216037.07,419454.11
United States,1956,32573.1,161919.1,219921.6,434791.12
United States,1957,32721.92,160314.11,220292.89,440736.83
United States,1958,31719.51,155965.1,210750.85,415912.26
United States,1959,33626.66,166599.06,234235.11,425447.59
United States,1960,34006.86,164943.79,216924.39,406956.35
United States,1961,34404.57,170006.75,212044.86,394873.47
United States,1962,35660.52,175243.2,228116.38,412288.33
United States,1963,36555.26,177106.47,230683.39,417699.79
United States,1964,38317.05,178080.65,240415.13,426420.78
United States,1965,39887.68,181574.47,251633.34,438800.84
United States,1966,41653,197487.29,271973.29,490766.9
United States,1967,42664.46,203730.56,278000.03,501718.73
United States,1968,44062.71,210178.18,280259.26,517063.04
United States,1969,44706.73,208298.85,281360.08,487388.42
United States,1970,44951.75,205698,278105.21,498497.68
United States,1971,44829.33,207724.22,275498.92,486115.26
United States,1972,46688.33,215836.27,285575.59,504206.66
United States,1973,47658.35,222840.89,292723.08,520135.9
United States,1974,46230.91,218980.87,290961.95,570490.89
United States,1975,43793.13,206014.13,274704.94,511029.77
United States,1976,44846.01,208045.06,275550.63,512751.18
United States,1977,45290.45,209035.76,277301.55,519522.26
United States,1978,46137.87,213588.25,282982.26,537855.9
United States,1979,46091.93,211560.32,282114.59,535725.83
United States,1980,44857.01,208970.23,276801.06,533653.05
United States,1981,44469.64,201606.27,263787.76,519101.99
United States,1982,43578.65,201736.91,263286.89,523925.97
United States,1983,43147.88,199515.31,261556.31,523636.12
United States,1984,44599.94,207954.41,272987.33,558713.61
United States,1985,45389.76,214705.26,278839.69,611925.3
United States,1986,45997.41,217689.96,283055.45,542831.62
United States,1987,47291.09,241106.64,334066.26,768639.92
United States,1988,49635.61,265824.94,386570.03,1004560.48
United States,1989,49481.64,269132.68,390886.98,964803.85
United States,1990,49133.61,268736.11,397101.94,989060.77
United States,1991,47727.7,262702.81,379112.59,886580.59
United States,1992,48127.39,273342.76,405204.6,1002380.7
United States,1993,47418.06,273534.87,387241.18,928224.43
United States,1994,48253.54,280897.88,397921.41,947991.54
United States,1995,49638.6,291552.2,419018.19,1003303.99
United States,1996,50790.17,308368.51,453064.03,1134215.47
United States,1997,52800.95,321174.8,476313.51,1247346.83
United States,1998,55368.4,340427.52,505605.23,1331383.39
United States,1999,57545.58,355874.11,530469.05,1439015.67
United States,2000,58465.84,360605.19,541045.42,1530507.52
United States,2001,57093.24,350490.14,517033.2,1407047.89
United States,2002,54916.05,335413.55,487584.42,1276737.64
United States,2003,54162.78,332186.14,480043.12,1263067.03
United States,2004,55629.74,354305.39,508938.9,1396127.21
United States,2005,56844.34,371942.13,541073.73,1550800.56
United States,2006,57893.22,387127.42,579871.77,1648588.96
United States,2007,59533.78,399058.98,597994.04,1703034.28
United States,2008,56423.99,382315.31,564093.7,1564354.25
United States,2009,53099.18,356070.71,514509.96,1343433.66
United States,2010,53410.03,365065.7,530092.6,1417611.79
United States,2011,53023.24,368243.07,534803.73,1423873.26
United States,2012,54607.09,381074.66,571808.13,1598461.3
United States,2013,53895.69,373497.86,548210.61,1449122.86
United States,2014,54835.54,385727.31,571016.98,1532516.9
United States,2015,57281.02,407760,606360,1635100
