"","ALXN","AMGN","ANIK","ARWR","BIIB","CASC","CBM","CELG","GILD","IMGN","INCY","NKTR","PGNX","REGN","RGEN","SPPI","SRPT","TECH","VRTX"
"1998-04-13",3.3125,12.384076,10.5,39,6.822917,101.25,11.151336,0.434896,1.223143,1.5937,22.125,11.5625,15.5,9.5,1.25,172.664597,39.75,8.584496,16.4375
"1998-04-14",3.34375,12.50536,10.6875,39,6.479167,102.373199,11.096673,0.434896,1.248625,1.5312,21.75,12.15625,17.5,9.25,1.2812,177.289536,39,8.312835,16.8125
"1998-04-15",3.21875,12.49188,11.5625,39,6.1875,96.75,11.083008,0.432292,1.234064,1.5,20.5,12.625,17.75,9.9687,1.3437,174.206238,39.75,7.986842,16.59375
"1998-04-16",3.375,12.033711,11.375,39,6.520833,96.75,11.124007,0.432292,1.223143,1.5,21,12.6875,19,9.875,1.3437,188.08107,42,8.095507,16.03125
"1998-04-17",3.25,12.424503,11.875,39,6.583333,94.5,11.192338,0.4375,1.212222,1.5312,21.6875,13.5,19.25,9.75,1.4062,184.997772,43.125,7.986842,16.9375
"1998-04-20",3.3125,12.437979,12.625,39,6.125,96.75,11.369992,0.427083,1.228603,1.5937,20.9375,13.3125,19.3125,10.125,1.4375,231.247223,45,7.796682,16.1875
"1998-04-21",3.3125,12.424503,12,39,6.020833,94.5,11.971288,0.442708,1.204941,1.5,21,13.0625,19.125,10.9375,1.4687,218.914032,44.25,7.606517,16.1875
"1998-04-22",3.4375,12.343652,12.125,39,5.979167,94.5,11.998622,0.421875,1.208582,1.5,21,13.1875,18.625,10.5625,1.4375,215.830734,44.25,7.389189,15.875
"1998-04-23",3.4375,12.424503,12.375,39,5.833333,90,11.793633,0.411458,1.197661,1.5625,20.75,12.75,18.375,9.6093,1.4375,221.99733,41.625,7.30769,15.75
"1998-04-24",3.53125,12.559259,11.75,32.5,5.645833,90,11.766302,0.40625,1.146696,1.5,20.5,12.5,18.75,9.625,1.4375,215.830734,42,7.362022,15.78125
"1998-04-27",3.4375,12.249318,11.4375,32.5,5.4375,91.123199,11.697969,0.375,1.103013,1.375,19.625,12.5,18,9.3125,1.4375,203.497559,41.625,7.389189,15.375
"1998-04-28",3.34375,12.249318,11.5,32.5,5.520833,91.123199,11.779967,0.385417,1.113934,1.4062,20.40625,12.75,17.5,9.4375,1.5,209.664154,42.375,7.443522,15.375
"1998-04-29",3.375,12.518833,11.5,32.5,5.791667,94.5,11.820967,0.398438,1.124855,1.4687,20.75,13.75,17,9.875,1.4062,215.830734,43.125,7.525017,15.5
"1998-04-30",3.375,12.855724,11.1875,32.5,6,90,12.13528,0.421875,1.106653,1.4687,22.5,14,16.5,9.8125,1.5,221.99733,43.312199,7.66085,15.5625
"1998-05-01",3.375,12.667064,10.875,32.5,6.0625,99,12.148946,0.411458,1.106653,1.5312,22.375,14.5,17.375,9.875,1.4687,212.747452,42.75,7.851012,15.4375
"1998-05-04",3.375,12.518833,12.875,32.5,5.958333,103.5,12.176276,0.458333,1.124855,2.3125,22.125,14.1875,19.375,10.5,3,212.747452,40.5,7.823849,15.1875
"1998-05-05",3.375,12.896151,12.0625,32.5,5.895833,99,12.053282,0.4375,1.106653,2,21.3125,14.46875,19.5,10,2.2187,209.664154,41.625,7.87818,15.1875
"1998-05-06",3.3125,12.532306,11,32.5,5.947917,94.5,12.157333,0.421875,1.088452,1.7812,21.375,14.5,19.375,9.6875,2.0625,231.247223,41.25,7.87818,14.75
"1998-05-07",3.125,12.343652,11.25,32.5,5.677083,99,11.938281,0.421875,1.092092,1.7187,20.5625,14.40625,19.875,9.375,1.9375,240.497116,40.125,7.66085,15
"1998-05-08",3.1875,12.747917,11.75,32.5,5.8125,97.873199,12.047808,0.458333,1.095732,1.6875,20.0625,14.75,20.375,9.9375,2,271.330078,41.25,7.715179,15.25
"1998-05-11",3.0625,12.896151,11.5,32.5,5.583333,96.75,12.266858,0.447917,1.042948,1.75,16.8281,14.9375,19.25,9.375,2.0625,258.996887,39.375,7.66085,14.5625
"1998-05-12",3.0625,12.909623,11.4375,32.5,5.8125,95.623199,12.294239,0.447917,1.048408,1.75,17.67185,15.4375,20.75,9.625,1.9375,246.663712,39.75,8.014008,15
"1998-05-13",3.09375,13.084807,12,32.5,6,94.5,12.882937,0.450521,1.052048,1.75,19,15.125,20.1875,9.625,1.8437,252.830292,40.125,7.823849,14.5
"1998-05-14",3.09375,13.125236,12,32.5,6.1875,94.5,12.51329,0.4375,1.033847,1.6562,18.65625,15.375,19,9.25,1.9687,260.538544,40.125,8.177005,14.25
"1998-05-15",3.015625,13.300417,11.9375,32.5,6.041667,94.5,12.266858,0.432292,1.084811,1.7187,18.8125,15.25,18.875,9.5625,1.875,268.246765,39.375,7.986842,14.34375
"1998-05-18",3.03125,13.367795,12.125,32.5,5.791667,96.75,12.171026,0.421875,1.048408,1.6875,18.5625,14.5625,17.75,9.625,2,255.913589,40.875,7.851012,14.125
"1998-05-19",3.0625,13.394743,12.25,32.5,5.635417,94.5,12.184716,0.416667,1.061149,1.8125,18.7031,15.5,15.9375,9.75,2,235.872162,44.25,7.769514,14.375
"1998-05-20",3.0625,13.327365,12,32.5,5.572917,90,12.171026,0.411458,1.046588,1.875,18.10935,15.0625,16.25,9.4375,1.8437,474.827637,42.75,7.715179,13.875
"1998-05-21",3.03125,13.327365,11.75,32.5,5.25,90,12.143641,0.414063,1.048408,2,18.15625,17,15.875,9.75,1.75,326.829407,40.5,7.633683,14.375
"1998-05-22",3.03125,14.135903,11.375,32.5,5.333333,94.5,12.020427,0.40625,1.021106,1.9687,17.54685,16.875,16.875,9.75,1.7812,332.996002,43.125,7.769514,14.53125
"1998-05-26",3,13.071331,11.3125,32.5,5.416667,96.75,11.88352,0.421875,0.993803,1.8125,17.125,16.25,16.8125,9.375,1.625,308.32962,40.875,7.606517,14.15625
"1998-05-27",2.9375,12.977003,11.75,32.5,5.291667,93.373199,11.828757,0.393229,0.979242,1.75,17.2031,15.5625,16.25,9.25,1.6562,302.163025,40.875,7.497851,14.0625
